#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
71,"Back From Cali","Slash,Myles Kennedy",133,11B,75,-,03:36,36,"hard rock, ","Slash",2010-00-00,40,0,0,68,0,0,-6,A Major,4,2hVPDYGExN6ux01zQvUwyr,US9T51000020,no
72,"Movement","Hozier",144,12A,50,-,03:57,67,"","Wasteland, Baby!",2019-03-01,38,16,0,15,0,0,-6,C♯/D♭ Minor,4,1djzKW3eYLyzjjHXazEWWh,USSM11806792,no
73,"F*ck My Life Up Again","Marcus King",82,8A,56,-,04:18,50,"modern blues, blues rock","Mood Swings",2024-04-05,49,30,0,55,0,10,-5,A Minor,4,0Jw0GvrJl8QIvY28wjAkdY,USUG12400433,yes
74,"Busyhead","Noah Kahan",142,11B,48,-,04:14,59,"","Busyhead",2019-06-14,66,33,0,61,0,20,-6,A Major,4,2rh74erKixxVL5jybdahEd,USUM71904717,no
75,"Budapest","George Ezra",128,7B,46,-,03:20,86,"","Wanted on Voyage (Expanded Edition)",2014-06-30,72,8,0,39,0,10,-8,F Major,4,2ixsaeFioXJmMgkkbd4uj1,GBARL1400477,no
76,"Codeine","Trampled by Turtles",137,6A,80,-,03:09,58,"bluegrass, newgrass, americana, folk, alt country","Blue Sky and the Devil",2005-04-20,49,10,6,66,0,20,-9,G Minor,4,7z6pDIQFv510mRKfyEjHR1,USHM20646722,no
77,"Espresso","Sabrina Carpenter",104,8B,76,-,02:55,87,"pop","Espresso",2024-04-12,70,11,0,69,0,10,-5,C Major,4,2qSkIjg1o9h3YT9RAgYN75,USUM72403305,yes
78,"A Bar Song (Tipsy)","Shaboozey",81,11B,71,-,02:51,84,"","Where I've Been, Isn't Where I'm Going",2024-05-31,72,7,0,60,0,0,-5,A Major,4,5fZJQrFKWQLb7FpJXZ1g7K,USUYG1541249,yes
79,"No Good","KALEO",109,11B,93,-,03:54,71,"","A/B",2016-06-10,38,2,0,58,10,10,-4,A Major,4,0Tr5G2mE56eLUGvCaXRM8I,USAT21601267,no
80,"Little Talks","Of Monsters and Men",103,3B,76,-,04:26,84,"folk pop","My Head Is An Animal",2012-01-01,46,2,0,42,0,10,-5,C♯/D♭ Major,4,2ihCaVdNZmnHZWt0fvAM7B,USUM71119106,no
81,"Lil Boo Thang","Paul Russell",114,8B,70,-,01:54,80,"","Lil Boo Thang",2023-08-18,85,15,0,92,0,30,-3,C Major,4,0cVyQfDyRnMJ0V3rjjdlU3,USAR12300323,no
82,"Behind The Veil","Myles Kennedy",130,12A,87,-,05:47,31,"","The Art Of Letting Go",2024-10-11,47,0,0,19,0,10,-5,C♯/D♭ Minor,4,0dDb0G0DaI6URFknN5YlpS,ATN262429405,no
83,"Mean Old Sun","Turnpike Troubadours",79,8B,59,-,04:08,59,"red dirt, texas country, alt country, country, outlaw country, americana","A Cat in the Rain",2023-08-25,49,24,0,37,0,0,-7,C Major,4,1DFAVRFF65zqaOUQtLoEtx,QM6N22328708,no
84,"In The Stars","Benson Boone",78,6B,54,-,03:36,77,"","In The Stars",2022-04-29,36,34,0,30,0,10,-6,A#/B♭ Major,3,1ei3hzQmrgealgRKFxIcWn,USWB12201574,no
85,"Heading South","Zach Bryan",110,12B,25,-,02:51,82,"country, red dirt","Heading South",2019-09-30,68,78,0,39,0,10,-14,E Major,4,2Dct3GykKZ58hpWRFfe2Qd,TCAEL1937212,yes
86,"A Thousand Words","Myles Kennedy",110,9A,93,-,03:41,34,"","The Ides of March",2021-05-14,46,0,0,33,0,30,-4,E Minor,4,0cAskiTAbhtwGenaGQXkG4,ATN262198702,no
87,"New Perspective","Noah Kahan",157,7B,52,-,04:16,77,"","Stick Season",2022-10-14,69,27,0,45,0,0,-10,F Major,4,1M39ETXmej4g9EMSeXPUgj,USUM72217171,no
88,"Be Someone","Benson Boone",135,11B,82,-,03:44,68,"","Fireworks & Rollerblades",2024-04-05,68,1,0,61,0,0,-5,A Major,4,1j2iMeSWdsEP5ITCrZqbIL,USWB12401091,no
89,"Starting Over","Chris Stapleton",89,6B,54,-,04:00,82,"country, outlaw country","Starting Over",2020-11-13,64,45,0,32,0,0,-8,A#/B♭ Major,4,3K07bGe8iljQ3mOKArHLDo,USUM72013812,no
90,"The Well","Marcus King",121,11B,57,-,02:57,61,"modern blues, blues rock","El Dorado",2020-01-17,58,0,0,48,0,10,-8,A Major,4,4wszHgvhXYlN2Io813hLQ1,USC4R1906988,no
91,"Hanginaround","Counting Crows",91,8B,79,-,04:07,67,"","This Desert Life",1999-00-00,50,30,0,73,0,70,-7,C Major,4,0LWINYMC4s8QTdDSb1B3Q3,USIR19915018,no
92,"BIRDS OF A FEATHER","Billie Eilish",105,10B,51,-,03:30,95,"","HIT ME HARD AND SOFT",2024-05-17,75,20,6,44,0,10,-10,D Major,4,6dOtVTDdiauQNBQEDOtlAB,USUM72401994,no
93,"Jersey Giant","Josiah and the Bonnevilles",96,11B,50,-,03:18,0,"","Country Covers",2023-01-27,48,52,0,38,0,10,-5,A Major,4,0Mq6UjfEgvHkNDv6DPow94,TLREW2232901,no
94,"Yellow","Coldplay",173,1B,66,-,04:26,93,"","Parachutes",2000-07-10,43,0,0,28,0,20,-7,B Major,4,3AJwUDP919kvQ9QcozQPxg,GBAYE0000267,no
95,"Big Yellow Taxi","Counting Crows,Vanessa Carlton",88,3B,87,-,03:45,69,"","Hard Candy",2002-07-08,68,0,0,84,0,10,-4,C♯/D♭ Major,4,4O4dhPrjcw7GSLNafNydmb,USIR10211754,no
96,"Ex's & Oh's","Elle King",140,9B,92,-,03:22,77,"","Love Stuff",2015-02-13,61,2,0,45,0,0,-3,G Major,4,70eDxAyAraNTiD6lx2ZEnH,USRC11401950,no
97,"Fire","Barns Courtney",108,3A,64,-,03:17,70,"","The Attractions Of Youth",2017-09-29,55,21,0,39,0,0,-6,A#/B♭ Minor,4,5w6B0sAH7XauCvMOAtplQj,GBUM71506495,no
98,"Beautiful People (Stay High)","The Black Keys",95,9B,85,-,02:47,51,"blues rock, garage rock, modern blues, rock","Ohio Players",2024-04-05,59,19,0,61,0,20,-2,G Major,4,2meH4dMuvGlooo2tpiPjJp,USNO12300381,no
99,"The Best","AWOLNATION",111,7A,87,-,03:43,55,"","Angel Miners & The Lightning Riders",2020-04-24,64,11,26,5,0,10,-5,D Minor,4,6RSVgjjYRtKg4FDyx2Lj1u,USDPK1900094,no
100,"Way down We Go","KALEO",163,3A,51,-,03:33,85,"","A/B",2016-06-10,49,58,0,34,10,10,-8,A#/B♭ Minor,4,0y1QJc3SJVPKJ1OvFmFqe6,USAT21502122,no
